,target,feed,feature,fw1,fw2,fw3,score
53,RODE,807f3b50-d0f6-11e7-b63b-001999f98771,temp,0.011170498602278905,1.388857049905429,1.6653194335768688,-6423.126957112052
54,VKCL,807f3b50-d0f6-11e7-b63b-001999f98771,r2,0.014000305678514971,0.0029540797467613733,0.023442668159351254,-0.48927674042618463
55,VKCL,807f3b50-d0f6-11e7-b63b-001999f98771,hum,0.052507158839780965,0.3316122766315672,0.5883465425890062,-120.29997567273954
56,VKCL,807f3b50-d0f6-11e7-b63b-001999f98771,temp,0.02428036808296876,2.2446358271821794,3.919578220480851,-10120.158073011042
57,VKTU,807f3b50-d0f6-11e7-b63b-001999f98771,r2,0.01373989243735256,0.002569994441804724,0.017090535602218293,-0.8869052285986077
58,VKTU,807f3b50-d0f6-11e7-b63b-001999f98771,hum,0.04302490053344761,0.30044154003420154,0.4561827944175576,-152.47094125728833
59,VKTU,807f3b50-d0f6-11e7-b63b-001999f98771,temp,0.015796252913101237,2.0228016247290697,2.9786929765876096,-12756.894213099884
60,CHOR,807f49e2-d0f6-11e7-b63b-001999f98771,r2,0.0002834899711632588,0.007698829845246891,0.009887876505830895,-1.22384466091167
61,CHOR,807f49e2-d0f6-11e7-b63b-001999f98771,hum,0.04494936380921111,0.25549635678184757,0.4164359250662777,-3.4678384454301296
62,CHOR,807f49e2-d0f6-11e7-b63b-001999f98771,temp,0.5126280638749812,0.8005137827133737,0.7015840327087375,-2.945740640162889
63,RODE,807f49e2-d0f6-11e7-b63b-001999f98771,r2,0.0019405575615185633,0.007168415767751624,0.009140630346950451,-0.4926154636689817
64,RODE,807f49e2-d0f6-11e7-b63b-001999f98771,hum,0.08185908383091078,0.25246118590864697,0.3999110805188941,-2.1267390035669544
65,RODE,807f49e2-d0f6-11e7-b63b-001999f98771,temp,0.8005306230141063,0.7836164700726336,0.647046825758558,-1.0171451843680073
66,VKCL,807f49e2-d0f6-11e7-b63b-001999f98771,r2,0.006672692922024548,0.011354038124412158,0.01344253243990634,-0.13191101227447177
67,VKCL,807f49e2-d0f6-11e7-b63b-001999f98771,hum,0.3459294522219558,0.4024152650207782,0.5199507339418474,-1.8002974342920015
68,VKCL,807f49e2-d0f6-11e7-b63b-001999f98771,temp,1.453588920163753,1.1272474914851358,1.568604632248352,0.08237372955804412
69,VKTU,807f49e2-d0f6-11e7-b63b-001999f98771,r2,0.005601589665500062,0.009309088874224214,0.010974827500199291,-0.1727613611595611
70,VKTU,807f49e2-d0f6-11e7-b63b-001999f98771,hum,0.30858126848366396,0.29288606024652,0.4430150519291729,-2.054943336692039
71,VKTU,807f49e2-d0f6-11e7-b63b-001999f98771,temp,1.1946743160649689,1.1782876717318516,0.9820395641698667,-0.46069291735580453
72,CHOR,807f4f46-d0f6-11e7-b63b-001999f98771,r2,0.003154655919999527,0.009442677733808136,0.009321383936990557,-1.5181317508233692
73,CHOR,807f4f46-d0f6-11e7-b63b-001999f98771,hum,0.10047960270261669,0.19678242926964273,0.29859007148883165,-3.738877252248371
74,CHOR,807f4f46-d0f6-11e7-b63b-001999f98771,temp,0.4739002702593922,1.1437065321276663,1.3251532940468849,-1.4799204086931117
75,RODE,807f4f46-d0f6-11e7-b63b-001999f98771,r2,-0.0005336994552914698,0.009830108209489374,0.01232585286325838,-0.9195648654494923
76,RODE,807f4f46-d0f6-11e7-b63b-001999f98771,hum,0.07331448853257783,0.24280738844785787,0.29032732654697213,-2.3007660031176225
77,RODE,807f4f46-d0f6-11e7-b63b-001999f98771,temp,0.5915341097484088,0.9878932815288124,1.2532931378013927,-0.49971786197699153
78,VKCL,807f4f46-d0f6-11e7-b63b-001999f98771,r2,0.004895815047293528,0.01609218524441225,0.01566046399055665,-0.5422021707623204
79,VKCL,807f4f46-d0f6-11e7-b63b-001999f98771,hum,0.2768854605997504,0.3052156603680345,0.4529190575824771,-1.8777069396672297
80,VKCL,807f4f46-d0f6-11e7-b63b-001999f98771,temp,0.48515055263601425,2.0785622873374905,2.5648366917770318,0.12362096850585447
81,VKTU,807f4f46-d0f6-11e7-b63b-001999f98771,r2,0.0055273458576656775,0.013327012872297317,0.01104225939024861,-0.6983652543909211
82,VKTU,807f4f46-d0f6-11e7-b63b-001999f98771,hum,0.17223361648815683,0.19311244934480953,0.47698756339681836,-2.2988555365925416
83,VKTU,807f4f46-d0f6-11e7-b63b-001999f98771,temp,0.7859450055356945,1.6188032090357183,1.7591645940979674,-0.32517121569021135
84,CHOR,807f5a18-d0f6-11e7-b63b-001999f98771,r2,0.00819236755417091,0.00573153402083177,0.006540533189933473,-12.02585584348926
85,CHOR,807f5a18-d0f6-11e7-b63b-001999f98771,hum,0.25919935654182735,0.18425146265700398,0.2059296753995783,-12.02585584348926
86,CHOR,807f5a18-d0f6-11e7-b63b-001999f98771,temp,1.9553792696050243,1.2023712940514129,1.413485853799859,-12.02585584348926
87,RODE,807f5a18-d0f6-11e7-b63b-001999f98771,r2,0.005287595202561501,0.005494138976711159,0.008049385607780027,-6.845758550131539
88,RODE,807f5a18-d0f6-11e7-b63b-001999f98771,hum,0.17406909488579603,0.1785401589958051,0.25205742281810695,-6.845758550131539
89,RODE,807f5a18-d0f6-11e7-b63b-001999f98771,temp,1.3181053869306405,1.2565727542658855,1.7610677414172713,-6.845758550131539
90,VKCL,807f5a18-d0f6-11e7-b63b-001999f98771,r2,0.010216850038175934,0.006618917925441323,0.01226226810254763,-6.130566628787291
91,VKCL,807f5a18-d0f6-11e7-b63b-001999f98771,hum,0.3328642762350462,0.209153711459368,0.3770288167123903,-6.130566628787291
92,VKCL,807f5a18-d0f6-11e7-b63b-001999f98771,temp,2.6152680567934015,1.6358873093470585,2.8092111114295655,-6.130566628787291
93,VKTU,807f5a18-d0f6-11e7-b63b-001999f98771,r2,0.008570521385069831,0.006485263766946185,0.008595939390067447,-7.898176963077477
94,VKTU,807f5a18-d0f6-11e7-b63b-001999f98771,hum,0.2717124521158192,0.20886959247761316,0.2661356800573471,-7.898176963077477
95,VKTU,807f5a18-d0f6-11e7-b63b-001999f98771,temp,2.2264732248596424,1.5414580009424146,1.8822615780254175,-7.898176963077477
96,CHOR,807f6b16-d0f6-11e7-b63b-001999f98771,r2,-0.008051572882854408,0.011554690886203645,0.01820115385011345,-1.1550009793392024
97,CHOR,807f6b16-d0f6-11e7-b63b-001999f98771,hum,-0.09509507349471136,0.36486251260194535,0.4232726711383634,-3.020930900077232
98,CHOR,807f6b16-d0f6-11e7-b63b-001999f98771,temp,-0.347259480144281,0.9895199879903203,1.631633895822091,-2.7887211511585686
99,RODE,807f6b16-d0f6-11e7-b63b-001999f98771,r2,-0.01067026483500455,0.009016223881813445,0.02272435391308747,-0.6463940723324018
100,RODE,807f6b16-d0f6-11e7-b63b-001999f98771,hum,-0.11864178282681692,0.46181407179439304,0.35719531202173016,-1.7659535486225102
101,RODE,807f6b16-d0f6-11e7-b63b-001999f98771,temp,-0.04289925824344465,0.9483431005640455,1.2951401180856124,-1.3205040054957542
102,VKCL,807f6b16-d0f6-11e7-b63b-001999f98771,r2,-0.002365512752150689,0.016705990937275317,0.021636223776239305,-0.31213080639687996
103,VKCL,807f6b16-d0f6-11e7-b63b-001999f98771,hum,0.20044778244332662,0.6053803449973998,0.3859152334493672,-1.557738785273477
104,VKCL,807f6b16-d0f6-11e7-b63b-001999f98771,temp,0.24171674929689857,1.387002684714389,2.3482568019570067,-0.26997814070571713
105,VKTU,807f6b16-d0f6-11e7-b63b-001999f98771,r2,-0.0038568125689262267,0.012908801208464382,0.020330387654542648,-0.4461995468085127
106,VKTU,807f6b16-d0f6-11e7-b63b-001999f98771,hum,-0.0014687030536677526,0.5031354282866118,0.46668825311365936,-1.7757930574267786
107,VKTU,807f6b16-d0f6-11e7-b63b-001999f98771,temp,0.281862976706023,0.8256089096650499,2.1423530891259475,-1.0302513749649895
