timestamp,no2,station
2019-02-06 07:00:00+00:00,57,VKCL
2019-02-06 07:00:00+00:00,54,VKTU
2019-02-06 08:00:00+00:00,50,VKCL
2019-02-06 08:00:00+00:00,48,VKTU
2019-02-06 08:00:00+00:00,48,CHOR
2019-02-06 08:00:00+00:00,46,RODE
2019-02-06 09:00:00+00:00,44,CHOR
2019-02-06 09:00:00+00:00,39,RODE
2019-02-06 09:00:00+00:00,54,VKCL
2019-02-06 09:00:00+00:00,45,VKTU
2019-02-06 10:00:00+00:00,50,VKCL
2019-02-06 10:00:00+00:00,43,VKTU
2019-02-06 10:00:00+00:00,40,CHOR
2019-02-06 10:00:00+00:00,32,RODE
2019-02-06 11:00:00+00:00,41,CHOR
2019-02-06 11:00:00+00:00,29,RODE
2019-02-06 11:00:00+00:00,47,VKCL
2019-02-06 11:00:00+00:00,44,VKTU
2019-02-06 12:00:00+00:00,43,VKCL
2019-02-06 12:00:00+00:00,38,VKTU
2019-02-06 12:00:00+00:00,38,CHOR
2019-02-06 12:00:00+00:00,27,RODE
2019-02-06 13:00:00+00:00,44,CHOR
2019-02-06 13:00:00+00:00,22,RODE
2019-02-06 13:00:00+00:00,43,VKCL
2019-02-06 13:00:00+00:00,49,VKTU
2019-02-06 14:00:00+00:00,56,VKCL
2019-02-06 14:00:00+00:00,56,VKTU
2019-02-06 14:00:00+00:00,46,CHOR
2019-02-06 14:00:00+00:00,27,RODE
2019-02-06 15:00:00+00:00,53,CHOR
2019-02-06 15:00:00+00:00,18,RODE
2019-02-06 15:00:00+00:00,48,VKCL
2019-02-06 16:00:00+00:00,28,RODE
2019-02-06 16:00:00+00:00,48,VKCL
2019-02-06 16:00:00+00:00,39,CHOR
2019-02-06 16:00:00+00:00,53,VKTU
2019-02-06 17:00:00+00:00,34,CHOR
2019-02-06 17:00:00+00:00,57,VKTU
2019-02-06 17:00:00+00:00,40,RODE
2019-02-06 17:00:00+00:00,53,VKCL
2019-02-06 18:00:00+00:00,42,RODE
